,location_id,age_group_id,sex_id,1990,1995,2000,2005,2010,2016
0,6,2,1,0.021285195493729876,-0.10878535049177844,-0.2525251504740352,-0.5144622577508308,-0.9006021196625733,-1.2861746405864767
1,6,2,2,-0.14659297874442648,-0.26342784541734154,-0.4190779243191535,-0.71582501654195,-1.0886600239653264,-1.5015265831363604
2,6,3,1,-2.6282946969992094,-2.835007297399409,-3.0872399300704743,-3.3786343686973046,-3.589458523677963,-3.855410962515501
3,6,3,2,-2.7347190474048215,-2.93200252988376,-3.1660152898995086,-3.485078472246397,-3.7013279992931456,-3.9642054341205815
4,6,4,1,-3.8356171067069096,-4.014308626052721,-4.297148844809374,-4.800054925576806,-5.1915980333754215,-5.462186042506225
5,6,4,2,-3.799350435661627,-4.021521979392534,-4.341193894519201,-4.89186645189885,-5.388862371900159,-5.678907146975834
6,6,5,1,-5.789837298580985,-6.070099941788483,-6.365547496257534,-6.718585622423754,-7.007148419201397,-7.33149858813102
7,6,5,2,-5.670268046571088,-5.999241034128423,-6.367187358678672,-6.800187073955815,-7.1398785644459,-7.482503670641977
8,6,6,1,-6.665783544132993,-6.7476476439160065,-6.899491657378029,-7.348550741496046,-7.4305759299115195,-7.849709666833977
9,6,6,2,-7.0195721578209636,-7.269124739779154,-7.4984203284455395,-7.896385563328162,-7.831678591425423,-8.20689519087805
10,6,7,1,-6.86287640689556,-7.076785927584615,-7.078282099492353,-7.3731910089497426,-7.421705674803814,-7.784220569287622
11,6,7,2,-7.197585647265836,-7.41146832034368,-7.67721262363008,-7.894886750176653,-7.8965155602821016,-8.277751437161644
12,6,8,1,-6.657205247015446,-6.781813805835088,-6.892895420330346,-6.998496779485952,-7.216340437028442,-7.334880729954263
13,6,8,2,-6.962896389479874,-7.189995435614283,-7.344031895376165,-7.594098477788797,-7.8967319441240615,-8.16932516404828
14,6,9,1,-6.349445673640475,-6.372532214766249,-6.445631612541717,-6.671822057418014,-6.832596787648392,-6.977298799120376
15,6,9,2,-6.635316809993696,-6.697105968954294,-6.934122490131729,-7.394920244224608,-7.596366375162281,-7.884626260420003
16,6,10,1,-6.330524107060577,-6.207353121883979,-6.322220103080238,-6.5436196541796035,-6.707233448072491,-6.769870536636271
17,6,10,2,-6.6282522025466095,-6.568789107980712,-6.791453339928026,-7.257763342239774,-7.450515111017003,-7.647731249944521
18,6,11,1,-6.079725735074079,-6.016080777456451,-6.104463194118816,-6.252011722525383,-6.423219123663453,-6.555235825186414
19,6,11,2,-6.407591262955215,-6.451155983205559,-6.6915104561563155,-6.979976728555737,-7.2014123577827425,-7.432664572505983
20,6,12,1,-5.820352522304456,-5.791980638862908,-5.863567168776497,-5.946734395310851,-6.120937454144734,-6.33613911827027
